,ra,dec,z,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
0,36.866965,-4.768358,0.7866,23.07956886291504,22.30099105834961,21.666553497314453,21.452938079833984,21.424095153808594,0.0647212564945221,0.04150764271616936,0.03817296028137207,0.06297172605991364,0.16367924213409424
1,53.120098,-27.73221,0.2135,19.591222763061523,18.40460968017578,17.987977981567383,17.710845947265625,17.627424240112305,0.006990089081227779,0.0031082502100616693,0.004037265665829182,0.005413536913692951,0.02075931243598461
2,52.967804,-27.638991,0.5036,22.962934494018555,22.27126693725586,21.92037010192871,21.90518569946289,22.177474975585938,0.050081804394721985,0.03494321182370186,0.044931985437870026,0.07415279000997543,0.41978493332862854
3,52.982603,-27.644396,0.5264,23.95660972595215,22.047712326049805,21.365877151489258,20.993375778198242,21.366220474243164,0.17034746706485748,0.038835007697343826,0.037665173411369324,0.04393434524536133,0.27266713976860046
4,53.111043,-27.674665,0.3107,22.013534545898438,21.13929557800293,20.799665451049805,20.36031723022461,20.24077033996582,0.03791394457221031,0.022565167397260666,0.03079426847398281,0.034296758472919464,0.13244959712028503
5,53.108066,-27.657749,0.7853,24.076017379760742,23.608348846435547,22.794282913208008,22.39931297302246,22.093952178955078,0.11446116864681244,0.09460634738206863,0.09179337322711945,0.10199299454689026,0.3304412364959717
6,53.133177,-27.93154,0.8396,23.855369567871094,23.34445571899414,22.82278060913086,22.78546714782715,22.220767974853516,0.08229462057352066,0.06715307384729385,0.0852283164858818,0.13807840645313263,0.3076845407485962
7,36.91534,-4.21953,0.2357,22.041030883789062,21.438648223876953,21.11402702331543,21.02035140991211,20.8000431060791,0.039545319974422455,0.02874845638871193,0.037791408598423004,0.07918602973222733,0.1515703946352005
8,36.921053,-4.206008,0.1782,21.4311466217041,20.899883270263672,20.639751434326172,20.54663848876953,20.5748291015625,0.020358217880129814,0.016040384769439697,0.023680368438363075,0.05805106461048126,0.11677423864603043
9,53.175873,-27.911867,0.0095,22.015945434570312,21.217294692993164,20.97241973876953,20.820547103881836,20.89719581604004,0.02145294100046158,0.011929948814213276,0.0165888499468565,0.027815602719783783,0.13630656898021698
10,53.001785,-27.874686,0.6285,24.322235107421875,22.345184326171875,21.314756393432617,20.86900520324707,20.622617721557617,0.15751177072525024,0.03397602215409279,0.02510182373225689,0.02915761061012745,0.09155856817960739
11,36.820703,-4.296045,0.515,24.175487518310547,22.406484603881836,21.806148529052734,21.336776733398438,21.473670959472656,0.15221355855464935,0.03776676207780838,0.03844030201435089,0.05287722125649452,0.14875277876853943
12,36.946117,-4.28431,0.4367,21.663898468017578,20.77601432800293,20.451644897460938,20.229873657226562,20.157989501953125,0.017231164500117302,0.00961143895983696,0.01250880304723978,0.02138190157711506,0.049645088613033295
13,53.22298,-27.930851,0.733,23.978971481323242,23.39272117614746,22.872589111328125,22.72362518310547,23.149471282958984,0.09871110320091248,0.07411196827888489,0.09431138634681702,0.14049431681632996,0.7675462365150452
14,53.225664,-27.930316,0.7354,23.012182235717773,22.14310646057129,21.30426597595215,21.006227493286133,20.70253562927246,0.05595752224326134,0.03164975717663765,0.029462570324540138,0.039677154272794724,0.1064964234828949
15,36.963521,-4.275161,0.3177,23.356996536254883,22.086984634399414,21.706514358520508,21.47027015686035,21.480249404907227,0.08472810685634613,0.033765003085136414,0.040420226752758026,0.0724453330039978,0.16980038583278656
16,53.035961,-27.917617,0.6756,23.94712257385254,22.961166381835938,22.16315460205078,22.006078720092773,21.96256446838379,0.11604809015989304,0.0580190047621727,0.05653038248419762,0.08274872601032257,0.29210716485977173
17,36.354727,-4.610485,0.5223,21.33295440673828,20.239948272705078,19.785202026367188,19.48952293395996,19.38064956665039,0.019969936460256577,0.009402377530932426,0.010744602419435978,0.014517055824398994,0.03829105943441391
18,53.033224,-27.919812,0.669,23.92201042175293,23.480249404907227,22.86271095275879,23.17749786376953,22.83338737487793,0.09689448773860931,0.07588675618171692,0.08597789704799652,0.19739872217178345,0.5303321480751038
19,36.776248,-4.570394,0.3323,22.04486846923828,21.24014663696289,20.729557037353516,20.58146095275879,20.38355827331543,0.06664249300956726,0.04791633039712906,0.047498539090156555,0.06845949590206146,0.12768539786338806
20,36.96791,-4.252236,0.3384,23.14646339416504,22.64069175720215,22.503787994384766,22.467540740966797,22.624141693115234,0.060074180364608765,0.05142699554562569,0.0753878578543663,0.15371420979499817,0.4299163222312927
21,36.978784,-4.269376,0.6083,24.717836380004883,23.523752212524414,22.998207092285156,22.756637573242188,22.501771926879883,0.2289118617773056,0.09251286834478378,0.09968260675668716,0.17743763327598572,0.3058728277683258
22,53.047453,-27.93703,0.6175,23.83908462524414,23.34200096130371,22.998239517211914,23.073287963867188,23.069963455200195,0.07353536784648895,0.06064388155937195,0.08499588817358017,0.15981562435626984,0.6438925862312317
23,36.93289,-4.396053,0.2861,23.084569931030273,22.339338302612305,21.938108444213867,21.721288681030273,21.72488021850586,0.057810086756944656,0.03693344071507454,0.046310070902109146,0.06919188797473907,0.17222735285758972
24,36.990238,-4.267163,0.7089,23.24789810180664,22.71147346496582,22.23131561279297,22.244890213012695,21.91200065612793,0.10036437213420868,0.07332826405763626,0.080867700278759,0.17897167801856995,0.2914409637451172
25,36.555821,-4.398746,0.9191,24.116130828857422,23.04676055908203,22.007122039794922,21.61838150024414,21.311260223388672,0.21773061156272888,0.10484715551137924,0.06846711784601212,0.09786821156740189,0.20191636681556702
26,36.447988,-4.395883,0.9165,24.9685001373291,23.49129295349121,22.136905670166016,21.538667678833008,21.204378128051758,0.4024133086204529,0.14536575973033905,0.0682915449142456,0.08035999536514282,0.13302181661128998
27,36.987321,-4.421649,0.96,24.425521850585938,22.7280330657959,21.532535552978516,20.830120086669922,20.768836975097656,0.34935829043388367,0.09350152313709259,0.054319947957992554,0.056763965636491776,0.12268933653831482
28,36.836858,-4.319847,0.3482,22.376569747924805,21.423269271850586,20.97018051147461,20.50225830078125,20.59479522705078,0.03373207896947861,0.017745869234204292,0.020440498366951942,0.02862282283604145,0.0751793161034584
29,36.998129,-4.268079,0.3425,21.429113388061523,20.14634132385254,19.770896911621094,19.564523696899414,19.510723114013672,0.02379327081143856,0.008883519098162651,0.010853219777345657,0.019506443291902542,0.04102935642004013
30,36.558856,-4.418136,0.7933,24.828754425048828,23.434629440307617,22.58876609802246,22.102487564086914,21.787986755371094,0.34197354316711426,0.11647255718708038,0.09112801402807236,0.14107254147529602,0.22075103223323822
31,36.741124,-4.50805,0.2523,23.080245971679688,22.415264129638672,22.097427368164062,21.892053604125977,21.956132888793945,0.04993506520986557,0.034864749759435654,0.04668102785944939,0.07505623996257782,0.2073872983455658
32,36.338553,-4.415435,0.3641,23.204864501953125,22.301111221313477,22.096506118774414,21.594615936279297,21.969919204711914,0.08965276181697845,0.05033456161618233,0.07299554347991943,0.0854605957865715,0.3216545879840851
33,36.740425,-4.503974,0.9935,23.435972213745117,23.233741760253906,22.629606246948242,22.437532424926758,21.788738250732422,0.07152722030878067,0.07630698382854462,0.07858631759881973,0.12822508811950684,0.19058170914649963
34,36.924793,-4.382301,0.2769,21.393644332885742,20.763582229614258,20.522174835205078,20.46491241455078,20.293540954589844,0.01589639112353325,0.011109471321105957,0.016357431188225746,0.03243100270628929,0.08911179006099701
35,36.843722,-4.314228,0.8447,22.976360321044922,22.30602264404297,21.67471694946289,21.313899993896484,21.90079116821289,0.06569989025592804,0.047136660665273666,0.04428033530712128,0.07028763741254807,0.28725579380989075
36,36.573582,-4.411008,0.667,23.353225708007812,22.47452163696289,21.995248794555664,21.829465866088867,22.00228500366211,0.07953046262264252,0.04459146782755852,0.050777286291122437,0.08796904236078262,0.2656428813934326
37,36.786016,-4.51447,0.6385,22.608789443969727,21.645734786987305,21.13498306274414,20.955171585083008,20.961008071899414,0.04735146835446358,0.026083163917064667,0.029458636417984962,0.04632703214883804,0.13174118101596832
38,36.557569,-4.61248,0.9638,23.48283576965332,22.68755531311035,21.98753547668457,21.733930587768555,21.41023826599121,0.09609486907720566,0.05968141183257103,0.05898106470704079,0.08479432016611099,0.15953439474105835
39,36.974579,-4.220633,0.881,23.868799209594727,23.577686309814453,22.91427230834961,22.723081588745117,22.633548736572266,0.10042619705200195,0.10486705601215363,0.09455378353595734,0.18607911467552185,0.44463351368904114
40,36.792039,-4.511444,0.5181,23.72555923461914,21.880125045776367,21.14289665222168,20.78167152404785,20.582664489746094,0.12747089564800262,0.03195875138044357,0.02924005314707756,0.03972228616476059,0.09057635068893433
41,36.958995,-4.212766,0.585,23.657394409179688,22.409700393676758,21.948030471801758,21.741275787353516,21.650726318359375,0.1010223850607872,0.04090123251080513,0.04864059388637543,0.08418633043766022,0.2088761031627655
42,36.794813,-4.584852,0.8506,25.011964797973633,23.583410263061523,22.384593963623047,21.858171463012695,21.877958297729492,0.3284754455089569,0.12613904476165771,0.06754951924085617,0.0832354798913002,0.2007092982530594
43,36.737069,-4.692028,0.703,23.11531639099121,21.619462966918945,20.594345092773438,20.227052688598633,20.077369689941406,0.11040148138999939,0.03509330004453659,0.024924395605921745,0.03301811218261719,0.08770813047885895
44,36.998194,-4.43042,0.5561,23.294950485229492,21.83208465576172,21.310983657836914,20.738157272338867,20.61961555480957,0.13512761890888214,0.04575900360941887,0.047435350716114044,0.057941287755966187,0.1133652776479721
45,36.570119,-4.410483,0.7676,23.59486198425293,23.076292037963867,22.64537239074707,22.73593521118164,22.436613082885742,0.08024857193231583,0.0643170103430748,0.07933835685253143,0.16342793405056,0.3225078582763672
46,36.783452,-4.578609,1.4278,23.357011795043945,23.0710391998291,22.941165924072266,22.534086227416992,22.40647315979004,0.05926373600959778,0.06104101613163948,0.09551297128200531,0.12477239966392517,0.29257988929748535
47,36.569656,-4.575174,0.9025,23.89643096923828,23.337026596069336,23.049442291259766,23.061697006225586,22.882068634033203,0.08981989324092865,0.06962499767541885,0.09576757997274399,0.18344826996326447,0.39832520484924316
